"culture";"population";"contact";"total_tools";"mean_TU";"lat";"lon";"lon2";"logpop"
"Malekula";1100;"low";13;3.2;-16.3;167.5;-12.5;7.00306545878646
"Tikopia";1500;"low";22;4.7;-12.3;168.8;-11.2;7.3132203870903
"Santa Cruz";3600;"low";24;4;-10.7;166;-14;8.1886891244442
"Yap";4791;"high";43;5;9.5;138.1;-41.9;8.47449443688312
"Lau Fiji";7400;"high";33;5;-17.7;178.1;-1.90000000000001;8.90923527919226
"Trobriand";8000;"high";19;4;-8.7;150.9;-29.1;8.98719682066197
"Chuuk";9200;"high";40;3.8;7.4;151.6;-28.4;9.12695876303713
"Manus";13000;"low";28;6.6;-2.1;146.9;-33.1;9.47270463644367
"Tonga";17500;"high";55;5.4;-21.2;-175.2;4.80000000000001;9.76995615991161
"Hawaii";275000;"low";71;6.6;19.9;-155.6;24.4;12.5245263766487
