"group";"avgfood";"groupsize";"area";"weight"
1;0.37;2;1.09;5.02
1;0.37;2;1.09;2.84
2;0.53;2;2.05;5.33
2;0.53;2;2.05;6.07
3;0.49;2;2.12;5.85
3;0.49;2;2.12;3.25
4;0.45;2;1.29;4.53
4;0.45;2;1.29;4.09
5;0.74;3;3.78;6.13
5;0.74;3;3.78;5.59
5;0.74;3;3.78;5.83
6;0.57;3;2.24;3.93
6;0.57;3;2.24;4.34
6;0.57;3;2.24;6.09
7;0.74;3;2.75;6.85
7;0.74;3;2.75;6.05
7;0.74;3;2.75;3.21
8;0.42;3;1.88;3.72
8;0.42;3;1.88;3.92
8;0.42;3;1.88;5.71
9;0.68;3;3.77;5.95
9;0.68;3;3.77;4.66
9;0.68;3;3.77;6.22
10;0.65;3;1.73;6.7
10;0.65;3;1.73;6.22
10;0.65;3;1.73;1.92
11;0.51;3;2.21;4.31
11;0.51;3;2.21;3.43
11;0.51;3;2.21;5.97
12;0.98;7;3.84;5.3
12;0.98;7;3.84;3.88
12;0.98;7;3.84;3.18
12;0.98;7;3.84;2.78
12;0.98;7;3.84;2.99
12;0.98;7;3.84;3.58
12;0.98;7;3.84;6.86
13;0.6;4;3.02;4.24
13;0.6;4;3.02;3.46
13;0.6;4;3.02;4.19
13;0.6;4;3.02;2.35
14;0.77;4;3.43;4.72
14;0.77;4;3.43;4.42
14;0.77;4;3.43;4.83
14;0.77;4;3.43;6.02
15;0.73;4;2.65;5.83
15;0.73;4;2.65;5.02
15;0.73;4;2.65;5.37
15;0.73;4;2.65;2.01
16;0.72;4;3.54;4.25
16;0.72;4;3.54;4.38
16;0.72;4;3.54;4.84
16;0.72;4;3.54;3.18
17;0.66;4;2.45;4.63
17;0.66;4;2.45;3.86
17;0.66;4;2.45;4.82
17;0.66;4;2.45;6.54
18;1.21;8;5.07;3.29
18;1.21;8;5.07;3.99
18;1.21;8;5.07;3.84
18;1.21;8;5.07;3.98
18;1.21;8;5.07;4.44
18;1.21;8;5.07;4.74
18;1.21;8;5.07;3.7
18;1.21;8;5.07;4.75
19;0.68;4;2.59;5.21
19;0.68;4;2.59;5.78
19;0.68;4;2.59;4.5
19;0.68;4;2.59;3.28
20;0.78;4;3.13;3.68
20;0.78;4;3.13;3.72
20;0.78;4;3.13;4.29
20;0.78;4;3.13;3.58
21;0.78;4;3.56;3.75
21;0.78;4;3.56;2.67
21;0.78;4;3.56;5.43
21;0.78;4;3.56;6.31
22;0.8;4;3.35;5.79
22;0.8;4;3.35;4.64
22;0.8;4;3.35;5.34
22;0.8;4;3.35;7.55
23;0.69;4;3.16;4.77
23;0.69;4;3.16;3.48
23;0.69;4;3.16;4.33
23;0.69;4;3.16;5.03
24;0.71;4;3.04;4.09
24;0.71;4;3.04;4.11
24;0.71;4;3.04;5.47
24;0.71;4;3.04;6.25
25;1.03;5;3.66;4.75
25;1.03;5;3.66;5.32
25;1.03;5;3.66;5.39
25;1.03;5;3.66;3.84
25;1.03;5;3.66;3.15
26;0.78;5;3.92;5.17
26;0.78;5;3.92;4.42
26;0.78;5;3.92;4.65
26;0.78;5;3.92;3.8
26;0.78;5;3.92;3.41
27;0.79;5;2.89;4.12
27;0.79;5;2.89;3.28
27;0.79;5;2.89;3.93
27;0.79;5;2.89;2.96
27;0.79;5;2.89;2.55
28;0.91;6;4.54;5
28;0.91;6;4.54;4.36
28;0.91;6;4.54;7.1
28;0.91;6;4.54;5.84
28;0.91;6;4.54;5.68
28;0.91;6;4.54;2.32
29;0.67;4;2.75;5
29;0.67;4;2.75;3.81
29;0.67;4;2.75;4.81
29;0.67;4;2.75;3.94
30;0.41;3;1.91;3.16
30;0.41;3;1.91;2.78
30;0.41;3;1.91;3.86
