"country";"num.lang";"area";"k.pop";"num.stations";"mean.growing.season";"sd.growing.season"
"Algeria";18;2381741;25660;102;6.6;2.29
"Angola";42;1246700;10303;50;6.22;1.87
"Australia";234;7713364;17336;134;6;4.17
"Bangladesh";37;143998;118745;20;7.4;0.73
"Benin";52;112622;4889;7;7.14;0.99
"Bolivia";38;1098581;7612;48;6.92;2.5
"Botswana";27;581730;1348;10;4.6;1.69
"Brazil";209;8511965;153322;245;9.71;5.87
"Burkina Faso";75;274000;9242;6;5.17;1.07
"CAR";94;622984;3127;13;8.08;1.21
"Cambodia";18;181035;8442;9;8.44;0.5
"Cameroon";275;475422;12239;35;9.17;1.75
"Chad";126;1284000;5819;11;4;1.81
"Colombia";79;1138914;33613;35;11.37;1.37
"Congo";60;342000;2346;10;9.6;1.69
"Costa Rica";10;51100;3064;38;8.92;1.78
"Cote d'Ivoire";75;322463;2346;10;9.6;1.69
"Cuba";1;110861;10736;13;7.46;1.55
"Ecuador";22;283561;10851;44;8.14;3.47
"Egypt";11;1001449;54688;50;0.89;0.89
"Ethiopia";112;1221900;53383;36;7.28;3.1
"French Guiana";11;90000;102;5;10.4;0.8
"Gabon";40;267667;1212;14;8.79;0.77
"Ghana";73;238553;15509;28;8.79;1.68
"Guatemala";52;108889;9467;59;9.31;2.23
"Guinea";29;245857;5931;8;7.38;1.22
"Guyana";14;214969;800;5;12;1.22
"Honduras";9;112088;5265;13;8.54;2.53
"India";405;3287590;849638;218;5.32;1.92
"Indonesia";701;1904569;187765;58;10.67;1.82
"Kenya";58;580367;25905;34;7.26;3.61
"Laos";93;236800;4262;7;7.14;0.35
"Liberia";34;111369;2705;21;10.62;0.84
"Libya";13;1759540;4712;54;2.43;1.6
"Madagascar";4;587041;11493;81;7.33;2.96
"Malawi";14;118484;8556;20;5.8;1.5
"Malaysia";140;329749;18333;63;11.92;0.37
"Mali";31;1240192;9507;17;3.59;1.97
"Mauritania";8;1025520;2036;8;0.75;0.83
"Mexico";243;1958201;87836;272;5.84;2.69
"Mozambique";36;801590;16084;90;6.07;1.39
"Myanmar";105;676578;42561;30;6.93;1.98
"Namibia";21;824292;1837;6;2.5;1.89
"Nepal";102;140797;19605;16;6.39;1.98
"Nicaragua";7;130000;3999;8;8.13;2.15
"Niger";21;1267000;7984;10;2.4;1.28
"Nigeria";427;923768;112163;24;7;2.16
"Oman";8;212457;1559;2;0;0
"Panama";13;75517;2466;5;9.2;0.75
"Papua New Guinea";862;462840;3772;8;10.88;1.96
"Paraguay";21;406752;4397;16;10.25;2.51
"Peru";91;1285216;21998;40;2.65;4.22
"Phillipines";168;300000;62969;64;10.34;1.92
"Saudi Arabia";8;2149690;14691;10;0.4;0.92
"Senegal";42;196722;7533;12;3.58;1.11
"Sierra Leone";23;71740;4260;23;8.22;0.59
"Solomon Islands";66;28896;3301;1;12;0
"Somalia";14;637657;7691;28;3;1.69
"South Africa";32;1221037;36070;114;6.05;3.5
"Sri Lanka";7;65610;17240;17;9.59;2.59
"Sudan";134;2505813;25941;43;4.02;2.82
"Suriname";17;163265;429;2;12;0
"Tanzania";131;945087;28359;45;7.02;1.9
"Thailand";82;513115;56293;54;8.04;1.57
"Togo";43;56785;3643;11;7.91;1.78
"UAE";9;83600;1629;6;0.83;0.69
"Uganda";43;235880;19517;21;10.14;1.17
"Vanuatu";111;12189;163;4;12;0
"Venezuela";40;912050;20226;44;7.98;2.73
"Vietnam";88;331689;68183;40;8.8;1.59
"Yemen";6;527968;12302;2;0;0
"Zaire";219;2344858;36672;16;9.44;1.9
"Zambia";38;752618;8780;30;5.43;0.67
"Zimbabwe";18;390759;10019;52;5.29;1.43
