"judge";"flight";"wine";"score";"wine.amer";"judge.amer"
"Jean-M Cardebat";"white";"A1";10;1;0
"Jean-M Cardebat";"white";"B1";13;1;0
"Jean-M Cardebat";"white";"C1";14;0;0
"Jean-M Cardebat";"white";"D1";15;0;0
"Jean-M Cardebat";"white";"E1";8;1;0
"Jean-M Cardebat";"white";"F1";13;1;0
"Jean-M Cardebat";"white";"G1";15;1;0
"Jean-M Cardebat";"white";"H1";11;0;0
"Jean-M Cardebat";"white";"I1";9;1;0
"Jean-M Cardebat";"white";"J1";12;0;0
"Tyler Colman";"white";"A1";16;1;1
"Tyler Colman";"white";"B1";14;1;1
"Tyler Colman";"white";"C1";14;0;1
"Tyler Colman";"white";"D1";16;0;1
"Tyler Colman";"white";"E1";12;1;1
"Tyler Colman";"white";"F1";11;1;1
"Tyler Colman";"white";"G1";11;1;1
"Tyler Colman";"white";"H1";14;0;1
"Tyler Colman";"white";"I1";11;1;1
"Tyler Colman";"white";"J1";14;0;1
"John Foy";"white";"A1";16;1;1
"John Foy";"white";"B1";17;1;1
"John Foy";"white";"C1";16;0;1
"John Foy";"white";"D1";15;0;1
"John Foy";"white";"E1";14.5;1;1
"John Foy";"white";"F1";14.5;1;1
"John Foy";"white";"G1";16;1;1
"John Foy";"white";"H1";17;0;1
"John Foy";"white";"I1";15;1;1
"John Foy";"white";"J1";17.5;0;1
"Olivier Gergaud";"white";"A1";14;1;0
"Olivier Gergaud";"white";"B1";19;1;0
"Olivier Gergaud";"white";"C1";12;0;0
"Olivier Gergaud";"white";"D1";10;0;0
"Olivier Gergaud";"white";"E1";19;1;0
"Olivier Gergaud";"white";"F1";18;1;0
"Olivier Gergaud";"white";"G1";17;1;0
"Olivier Gergaud";"white";"H1";16;0;0
"Olivier Gergaud";"white";"I1";18;1;0
"Olivier Gergaud";"white";"J1";14;0;0
"Robert Hodgson";"white";"A1";17;1;1
"Robert Hodgson";"white";"B1";11;1;1
"Robert Hodgson";"white";"C1";13;0;1
"Robert Hodgson";"white";"D1";14;0;1
"Robert Hodgson";"white";"E1";14;1;1
"Robert Hodgson";"white";"F1";10;1;1
"Robert Hodgson";"white";"G1";9;1;1
"Robert Hodgson";"white";"H1";9;0;1
"Robert Hodgson";"white";"I1";10;1;1
"Robert Hodgson";"white";"J1";10;0;1
"Linda Murphy";"white";"A1";15.5;1;1
"Linda Murphy";"white";"B1";15;1;1
"Linda Murphy";"white";"C1";17;0;1
"Linda Murphy";"white";"D1";18;0;1
"Linda Murphy";"white";"E1";16;1;1
"Linda Murphy";"white";"F1";17;1;1
"Linda Murphy";"white";"G1";15;1;1
"Linda Murphy";"white";"H1";14;0;1
"Linda Murphy";"white";"I1";16;1;1
"Linda Murphy";"white";"J1";17;0;1
"Daniele Meulder";"white";"A1";10;1;0
"Daniele Meulder";"white";"B1";15;1;0
"Daniele Meulder";"white";"C1";12;0;0
"Daniele Meulder";"white";"D1";12;0;0
"Daniele Meulder";"white";"E1";15;1;0
"Daniele Meulder";"white";"F1";14;1;0
"Daniele Meulder";"white";"G1";15;1;0
"Daniele Meulder";"white";"H1";12;0;0
"Daniele Meulder";"white";"I1";15;1;0
"Daniele Meulder";"white";"J1";12;0;0
"Jamal Rayyis";"white";"A1";16;1;0
"Jamal Rayyis";"white";"B1";15;1;0
"Jamal Rayyis";"white";"C1";14.5;0;0
"Jamal Rayyis";"white";"D1";17.5;0;0
"Jamal Rayyis";"white";"E1";16.5;1;0
"Jamal Rayyis";"white";"F1";14;1;0
"Jamal Rayyis";"white";"G1";12;1;0
"Jamal Rayyis";"white";"H1";15;0;0
"Jamal Rayyis";"white";"I1";13;1;0
"Jamal Rayyis";"white";"J1";12;0;0
"Francis Schott";"white";"A1";17;1;1
"Francis Schott";"white";"B1";16;1;1
"Francis Schott";"white";"C1";12;0;1
"Francis Schott";"white";"D1";18;0;1
"Francis Schott";"white";"E1";15;1;1
"Francis Schott";"white";"F1";16;1;1
"Francis Schott";"white";"G1";15;1;1
"Francis Schott";"white";"H1";14;0;1
"Francis Schott";"white";"I1";17;1;1
"Francis Schott";"white";"J1";15;0;1
"Jean-M Cardebat";"red";"A2";15;0;0
"Jean-M Cardebat";"red";"B2";11;0;0
"Jean-M Cardebat";"red";"C2";12;1;0
"Jean-M Cardebat";"red";"D2";16;1;0
"Jean-M Cardebat";"red";"E2";14;1;0
"Jean-M Cardebat";"red";"F2";11;1;0
"Jean-M Cardebat";"red";"G2";14.5;0;0
"Jean-M Cardebat";"red";"H2";13;1;0
"Jean-M Cardebat";"red";"I2";10;1;0
"Jean-M Cardebat";"red";"J2";14.5;0;0
"Tyler Colman";"red";"A2";14;0;1
"Tyler Colman";"red";"B2";11;0;1
"Tyler Colman";"red";"C2";16;1;1
"Tyler Colman";"red";"D2";12;1;1
"Tyler Colman";"red";"E2";14;1;1
"Tyler Colman";"red";"F2";13;1;1
"Tyler Colman";"red";"G2";14;0;1
"Tyler Colman";"red";"H2";12;1;1
"Tyler Colman";"red";"I2";13;1;1
"Tyler Colman";"red";"J2";11;0;1
"John Foy";"red";"A2";17.5;0;1
"John Foy";"red";"B2";19;0;1
"John Foy";"red";"C2";18;1;1
"John Foy";"red";"D2";18;1;1
"John Foy";"red";"E2";15;1;1
"John Foy";"red";"F2";16;1;1
"John Foy";"red";"G2";18;0;1
"John Foy";"red";"H2";18;1;1
"John Foy";"red";"I2";17;1;1
"John Foy";"red";"J2";17.5;0;1
"Olivier Gergaud";"red";"A2";10;0;0
"Olivier Gergaud";"red";"B2";17;0;0
"Olivier Gergaud";"red";"C2";9;1;0
"Olivier Gergaud";"red";"D2";14;1;0
"Olivier Gergaud";"red";"E2";19;1;0
"Olivier Gergaud";"red";"F2";12;1;0
"Olivier Gergaud";"red";"G2";15;0;0
"Olivier Gergaud";"red";"H2";10;1;0
"Olivier Gergaud";"red";"I2";11;1;0
"Olivier Gergaud";"red";"J2";18;0;0
"Robert Hodgson";"red";"A2";13;0;1
"Robert Hodgson";"red";"B2";17;0;1
"Robert Hodgson";"red";"C2";13;1;1
"Robert Hodgson";"red";"D2";16;1;1
"Robert Hodgson";"red";"E2";12;1;1
"Robert Hodgson";"red";"F2";15;1;1
"Robert Hodgson";"red";"G2";10;0;1
"Robert Hodgson";"red";"H2";12;1;1
"Robert Hodgson";"red";"I2";8;1;1
"Robert Hodgson";"red";"J2";11;0;1
"Linda Murphy";"red";"A2";13;0;1
"Linda Murphy";"red";"B2";14;0;1
"Linda Murphy";"red";"C2";17;1;1
"Linda Murphy";"red";"D2";16;1;1
"Linda Murphy";"red";"E2";15;1;1
"Linda Murphy";"red";"F2";17;1;1
"Linda Murphy";"red";"G2";14;0;1
"Linda Murphy";"red";"H2";15.5;1;1
"Linda Murphy";"red";"I2";13;1;1
"Linda Murphy";"red";"J2";18;0;1
"Daniele Meulder";"red";"A2";14;0;0
"Daniele Meulder";"red";"B2";16;0;0
"Daniele Meulder";"red";"C2";11;1;0
"Daniele Meulder";"red";"D2";16;1;0
"Daniele Meulder";"red";"E2";14;1;0
"Daniele Meulder";"red";"F2";15;1;0
"Daniele Meulder";"red";"G2";13;0;0
"Daniele Meulder";"red";"H2";11;1;0
"Daniele Meulder";"red";"I2";10;1;0
"Daniele Meulder";"red";"J2";15;0;0
"Jamal Rayyis";"red";"A2";15;0;0
"Jamal Rayyis";"red";"B2";19.5;0;0
"Jamal Rayyis";"red";"C2";14;1;0
"Jamal Rayyis";"red";"D2";12;1;0
"Jamal Rayyis";"red";"E2";13;1;0
"Jamal Rayyis";"red";"F2";16;1;0
"Jamal Rayyis";"red";"G2";14.5;0;0
"Jamal Rayyis";"red";"H2";15;1;0
"Jamal Rayyis";"red";"I2";16;1;0
"Jamal Rayyis";"red";"J2";16;0;0
"Francis Schott";"red";"A2";19;0;1
"Francis Schott";"red";"B2";18;0;1
"Francis Schott";"red";"C2";8;1;1
"Francis Schott";"red";"D2";15;1;1
"Francis Schott";"red";"E2";15;1;1
"Francis Schott";"red";"F2";12;1;1
"Francis Schott";"red";"G2";15;0;1
"Francis Schott";"red";"H2";16;1;1
"Francis Schott";"red";"I2";7;1;1
"Francis Schott";"red";"J2";17;0;1
